order_id,customer_id,order_date,order_status,payment_status,shipping_region_id,total_amount
1,1991,2025-07-26 15:49:09,completed,success,16,764.54
2,1805,2025-05-22 06:17:15,completed,paid,7,1662.43
3,20,2025-07-01 07:50:36,completed,PAID,13,1480.60
4,1656,2024-11-25 03:59:58,completed,PAID,10,874.60
5,286,2025-06-06 06:01:24,completed,success,10,118.76
6,1069,2024-07-08 06:55:06,completed,paid,8,2651.16
7,1488,2025-02-05 19:38:11,completed,PAID,2,1654.71
8,1643,2024-08-17 20:52:11,completed,PAID,3,746.47
9,1050,2025-07-18 14:36:36,completed,success,14,359.63
10,1257,2025-10-29 04:11:37,completed,paid,13,1168.01
11,1774,2026-02-07 00:53:44,completed,PAID,6,1019.37
12,833,2024-12-26 17:29:27,Complete,PAID,2,694.02
13,1058,2024-02-04 04:33:36,Complete,success,4,909.29
14,2187,2025-03-14 05:10:50,completed,paid,10,423.43
15,1015,2024-09-14 23:49:13,Complete,paid,14,431.60
16,884,2024-12-04 04:26:01,completed,paid,4,665.32
17,1414,2024-04-01 18:28:05,completed,success,6,867.12
18,1435,2025-01-26 09:56:23,completed,success,5,1939.70
19,79,2025-11-27 07:48:13,SUCCESS,paid,16,326.79
20,584,2025-07-16 01:14:42,completed,success,13,1163.86
21,209,2025-07-27 13:57:14,completed,success,3,253.79
22,1156,2025-06-30 19:09:12,completed,success,5,148.96
23,573,2024-10-13 15:17:02,completed,PAID,12,3424.77
24,1006,2024-03-06 10:31:01,completed,PAID,11,527.54
25,118,2026-02-16 21:56:47,completed,paid,10,389.07
26,493,2025-10-30 09:14:38,Complete,success,3,868.03
27,1028,2024-08-19 16:30:32,cancelled,declined,7,593.84
28,1508,2024-02-29 18:09:03,Complete,paid,14,42.71
29,783,2024-08-15 23:12:36,completed,PAID,1,188.45
30,1987,2024-07-22 02:09:08,cancelled,declined,9,542.28
31,511,2024-07-22 08:26:11,completed,PAID,16,1783.19
32,431,2024-12-20 12:35:46,completed,success,3,236.36
33,1259,2024-09-08 00:32:57,completed,paid,4,1283.75
34,290,2025-08-30 19:25:26,completed,PAID,6,1701.13
35,50,2024-04-17 11:11:38,cancelled,declined,14,1135.32
36,2172,2024-01-27 10:46:14,SUCCESS,success,8,474.82
37,943,2025-05-29 05:32:14,completed,PAID,2,399.65
38,786,2025-08-28 10:10:40,completed,paid,4,629.70
39,447,2024-10-20 15:20:22,completed,paid,8,392.67
40,1871,2024-07-14 15:57:24,completed,PAID,13,496.86
41,1556,2024-10-11 09:23:09,cancelled,declined,10,598.81
42,1462,2024-05-31 13:44:02,completed,PAID,7,1379.75
43,944,2024-05-17 21:46:44,completed,success,11,1341.24
44,350,2024-09-11 12:01:52,returned,refunded,6,1364.00
45,45,2025-12-25 06:21:46,returned,refunded,16,750.03
46,161,2024-08-31 21:15:14,completed,success,14,425.04
47,1598,2025-02-01 09:04:42,completed,success,13,1983.48
48,493,2025-09-01 07:25:34,completed,paid,3,908.54
49,1631,2026-01-29 01:31:54,Complete,success,9,1324.17
50,37,2024-08-15 08:12:53,completed,success,11,1867.28
51,1297,2025-08-24 11:23:04,returned,refunded,6,1277.91
52,1535,2025-10-24 00:57:38,completed,PAID,6,57.06
53,372,2025-06-22 07:26:53,pending,pending,10,456.61
54,219,2025-05-02 07:55:40,completed,success,13,151.41
55,2166,2024-07-15 15:15:06,completed,PAID,13,410.36
56,427,2024-10-30 04:05:42,completed,success,14,360.31
57,1031,2025-02-14 05:30:01,cancelled,declined,13,166.52
58,1846,2025-01-23 03:14:57,completed,paid,9,250.23
59,1441,2026-03-14 16:44:31,completed,success,13,535.99
60,937,2024-09-08 02:51:27,cancelled,declined,1,12.89
61,1547,2024-12-31 18:08:00,completed,paid,13,46.45
62,1971,2026-03-28 22:29:32,completed,paid,15,1990.79
63,118,2026-02-23 17:35:21,completed,success,10,73.91
64,62,2024-02-13 11:35:15,pending,pending,8,958.89
65,77,2024-11-04 04:10:51,completed,success,8,2310.35
66,578,2025-07-30 00:06:15,completed,PAID,3,420.73
67,1513,2025-07-03 16:22:00,completed,PAID,1,250.74
68,1667,2025-02-17 01:16:01,pending,pending,2,987.64
69,1001,2024-01-02 12:36:51,Complete,paid,3,109.05
70,2096,2024-07-10 03:56:48,completed,success,6,708.98
71,653,2024-12-11 15:34:01,completed,PAID,3,1353.23
72,428,2024-12-20 11:58:21,Complete,paid,4,1820.90
73,1230,2024-05-14 13:50:35,cancelled,declined,10,962.85
74,1595,2024-06-11 15:42:57,pending,pending,12,840.69
75,1727,2025-11-24 00:48:50,Complete,success,5,371.62
76,204,2026-02-28 18:16:21,completed,success,11,701.37
77,1340,2024-04-18 11:31:36,returned,refunded,2,427.40
78,1640,2024-09-10 09:44:00,completed,success,16,1034.45
79,1626,2024-03-14 06:42:11,completed,paid,10,1749.11
80,862,2025-06-01 12:35:39,completed,PAID,15,1667.87
81,332,2024-02-28 02:05:29,completed,success,6,2719.96
82,409,2025-11-11 19:38:06,completed,PAID,8,366.03
83,518,2025-03-25 00:11:18,Complete,paid,3,339.16
84,2067,2025-05-13 14:36:08,completed,PAID,13,1309.35
85,507,2025-04-21 20:39:20,completed,success,15,137.89
86,1612,2025-05-27 05:27:04,SUCCESS,PAID,1,181.05
87,1302,2024-12-05 12:50:08,completed,PAID,10,160.71
88,619,2024-02-07 10:46:30,cancelled,declined,2,201.77
89,712,2025-12-06 15:13:19,completed,PAID,16,485.03
90,17,2025-03-09 01:02:13,completed,success,2,540.39
91,1454,2025-06-04 12:22:39,completed,PAID,16,652.89
92,1224,2025-09-01 08:31:57,returned,refund,2,327.73
93,1565,2024-02-24 00:57:04,completed,success,11,1700.14
94,633,2025-11-11 05:18:07,completed,PAID,5,1500.41
95,1482,2024-02-01 09:51:37,SUCCESS,paid,11,438.74
96,845,2024-11-13 00:07:53,cancelled,declined,2,297.53
97,817,2024-02-04 19:13:19,Complete,success,10,699.64
98,840,2024-04-11 09:43:48,completed,paid,1,75.26
99,1067,2025-09-19 16:28:25,completed,success,9,436.52
100,862,2024-01-05 10:33:05,completed,success,15,239.16
101,730,2024-07-25 19:42:12,completed,success,3,117.49
102,585,2025-10-19 04:09:33,completed,PAID,8,626.09
103,2169,2024-03-22 11:02:04,completed,paid,9,16.10
104,753,2025-01-27 13:33:33,completed,success,14,118.54
105,2122,2025-05-30 22:14:15,completed,success,10,296.31
106,1894,2024-05-17 16:39:59,pending,pending,9,358.08
107,1121,2025-04-22 06:43:20,completed,PAID,1,1326.76
108,922,2024-02-15 20:07:45,completed,success,11,104.86
109,293,2024-12-15 04:04:12,Complete,PAID,8,719.91
110,724,2025-11-14 12:13:43,completed,PAID,13,1052.56
111,832,2025-05-29 03:31:17,completed,success,14,1471.59
112,616,2024-05-28 01:09:06,completed,success,4,269.71
113,2167,2026-02-07 11:07:36,completed,PAID,8,72.05
114,1614,2025-06-27 01:00:44,completed,PAID,1,708.45
115,1114,2025-02-24 03:00:39,completed,success,12,19.05
116,1592,2025-03-02 19:39:54,cancelled,declined,16,1597.70
117,1433,2025-04-04 03:20:27,completed,success,9,862.55
118,2195,2026-03-19 17:20:16,completed,paid,14,662.19
119,1048,2024-07-06 20:12:37,completed,PAID,3,1124.26
120,1910,2025-05-27 09:30:51,pending,pending,9,731.61
121,1256,2025-04-27 15:30:44,completed,PAID,1,125.29
122,1315,2025-11-02 08:40:42,completed,PAID,13,425.27
123,1612,2024-01-06 18:00:47,returned,refunded,1,2296.53
124,1520,2025-10-13 12:21:24,completed,PAID,1,1822.86
125,919,2024-07-22 02:56:03,completed,success,3,687.49
126,1206,2025-03-31 04:16:59,completed,PAID,11,1483.38
127,1917,2026-02-19 12:18:20,completed,PAID,13,2918.76
128,612,2025-05-31 04:39:37,completed,success,14,618.97
129,1714,2024-06-09 14:12:20,completed,PAID,16,1466.80
130,1071,2024-09-17 00:57:15,completed,paid,14,399.94
