payment_id,order_id,payment_method,payment_status,payment_amount,paid_at
1,1,card,success,764.54,2025-07-26 15:52:09
2,2,bank_transfer,paid,1662.43,2025-05-22 07:43:15
3,3,mobile_money,PAID,1480.60,2025-07-01 08:55:36
4,4,paypal,PAID,874.60,2024-11-25 04:13:58
5,5,card,success,118.76,2025-06-06 06:15:24
6,6,card,paid,2651.16,2024-07-08 08:38:06
7,7,card,PAID,1654.71,2025-02-05 20:35:11
8,8,paypal,PAID,746.47,2024-08-17 21:27:11
9,9,mobile_money,success,359.63,2025-07-18 16:01:36
10,10,card,paid,1168.01,2025-10-29 04:53:37
11,11,bank_transfer,PAID,1019.37,2026-02-07 02:05:44
12,12,card,PAID,694.02,2024-12-26 18:12:27
13,13,mobile_money,success,909.29,2024-02-04 05:00:36
14,14,mobile_money,paid,423.43,2025-03-14 06:11:50
15,15,paypal,paid,431.60,2024-09-15 00:56:13
16,16,paypal,paid,665.32,2024-12-04 05:42:01
17,17,bank_transfer,success,867.12,2024-04-01 18:35:05
18,18,mobile_money,success,1939.70,2025-01-26 10:43:23
19,19,mobile_money,paid,326.79,2025-11-27 08:25:13
20,20,bank_transfer,success,1163.86,2025-07-16 01:55:42
21,21,paypal,success,253.79,2025-07-27 14:33:14
22,22,paypal,success,148.96,2025-06-30 20:26:12
23,23,paypal,PAID,3424.77,2024-10-13 16:13:02
24,24,card,PAID,527.54,2024-03-06 10:37:01
25,25,paypal,paid,389.07,2026-02-16 22:14:47
26,26,card,success,868.03,2025-10-30 10:51:38
27,27,card,declined,0.00,2024-08-19 17:58:32
28,28,card,paid,42.71,2024-02-29 18:24:03
29,29,paypal,PAID,188.45,2024-08-16 00:21:36
30,30,mobile_money,declined,0.00,2024-07-22 02:36:08
31,31,card,PAID,1783.19,2024-07-22 08:48:11
32,32,bank_transfer,success,236.36,2024-12-20 13:51:46
33,33,paypal,paid,1283.75,2024-09-08 00:48:57
34,34,mobile_money,PAID,1701.13,2025-08-30 19:26:26
35,35,card,declined,0.00,2024-04-17 11:51:38
36,36,paypal,success,474.82,2024-01-27 12:04:14
37,37,mobile_money,PAID,399.65,2025-05-29 06:32:14
38,38,card,paid,629.70,2025-08-28 11:57:40
39,39,mobile_money,paid,392.67,2024-10-20 16:14:22
40,40,paypal,PAID,496.86,2024-07-14 16:14:24
41,41,card,declined,0.00,2024-10-11 10:26:09
42,42,mobile_money,PAID,1379.75,2024-05-31 14:00:02
43,43,paypal,success,1341.24,2024-05-17 21:55:44
44,44,mobile_money,refunded,1364.00,2024-09-11 13:00:52
45,45,paypal,refunded,750.03,2025-12-25 07:17:46
46,46,bank_transfer,success,425.04,2024-08-31 21:29:14
47,47,card,success,1983.48,2025-02-01 10:02:42
48,48,paypal,paid,908.54,2025-09-01 08:26:34
49,49,card,success,1324.17,2026-01-29 03:25:54
50,50,bank_transfer,success,1867.28,2024-08-15 09:24:53
51,51,card,refunded,1277.91,2025-08-24 12:01:04
52,52,card,PAID,57.06,2025-10-24 02:51:38
53,53,mobile_money,pending,0.00,2025-06-22 08:40:53
54,54,bank_transfer,success,151.41,2025-05-02 09:14:40
55,55,paypal,PAID,410.36,2024-07-15 16:24:06
56,56,paypal,success,360.31,2024-10-30 05:15:42
57,57,mobile_money,declined,0.00,2025-02-14 06:59:01
58,58,paypal,paid,250.23,2025-01-23 04:55:57
59,59,paypal,success,535.99,2026-03-14 17:33:31
60,60,mobile_money,declined,0.00,2024-09-08 03:32:27
61,61,paypal,paid,46.45,2024-12-31 19:39:00
62,62,bank_transfer,paid,1990.79,2026-03-28 22:33:32
63,63,bank_transfer,success,73.91,2026-02-23 17:59:21
64,64,paypal,pending,0.00,2024-02-13 11:44:15
65,65,card,success,2310.35,2024-11-04 06:00:51
66,66,mobile_money,PAID,420.73,2025-07-30 00:14:15
67,67,bank_transfer,PAID,250.74,2025-07-03 17:40:00
68,68,card,pending,0.00,2025-02-17 02:11:01
69,69,paypal,paid,109.05,2024-01-02 13:27:51
70,70,card,success,708.98,2024-07-10 04:26:48
71,71,card,PAID,1353.23,2024-12-11 17:18:01
72,72,paypal,paid,1820.90,2024-12-20 13:29:21
73,73,mobile_money,declined,0.00,2024-05-14 14:54:35
74,74,paypal,pending,0.00,2024-06-11 16:55:57
75,75,bank_transfer,success,371.62,2025-11-24 00:57:50
76,76,card,success,701.37,2026-02-28 19:28:21
77,77,bank_transfer,refunded,427.40,2024-04-18 13:02:36
78,78,paypal,success,1034.45,2024-09-10 10:00:00
79,79,bank_transfer,paid,1749.11,2024-03-14 08:18:11
80,80,paypal,PAID,1667.87,2025-06-01 14:28:39
81,81,paypal,success,2719.96,2024-02-28 03:56:29
82,82,mobile_money,PAID,366.03,2025-11-11 19:41:06
83,83,paypal,paid,339.16,2025-03-25 01:07:18
84,84,bank_transfer,PAID,1309.35,2025-05-13 15:17:08
85,85,mobile_money,success,137.89,2025-04-21 22:36:20
86,86,bank_transfer,PAID,181.05,2025-05-27 05:42:04
87,87,bank_transfer,PAID,160.71,2024-12-05 14:50:08
88,88,bank_transfer,declined,0.00,2024-02-07 11:47:30
89,89,card,PAID,485.03,2025-12-06 16:43:19
90,90,bank_transfer,success,540.39,2025-03-09 02:07:13
91,91,paypal,PAID,652.89,2025-06-04 14:02:39
92,92,card,refund,327.73,2025-09-01 09:14:57
93,93,paypal,success,1700.14,2024-02-24 02:31:04
94,94,bank_transfer,PAID,1500.41,2025-11-11 06:23:07
95,95,card,paid,438.74,2024-02-01 11:09:37
96,96,bank_transfer,declined,0.00,2024-11-13 00:17:53
97,97,bank_transfer,success,699.64,2024-02-04 21:10:19
98,98,paypal,paid,75.26,2024-04-11 10:12:48
99,99,paypal,success,436.52,2025-09-19 18:28:25
100,100,bank_transfer,success,239.16,2024-01-05 12:30:05
101,101,card,success,117.49,2024-07-25 21:31:12
102,102,bank_transfer,PAID,626.09,2025-10-19 04:48:33
103,103,paypal,paid,16.10,2024-03-22 11:04:04
104,104,bank_transfer,success,118.54,2025-01-27 14:08:33
105,105,bank_transfer,success,296.31,2025-05-30 22:28:15
106,106,mobile_money,pending,0.00,2024-05-17 16:55:59
107,107,mobile_money,PAID,1326.76,2025-04-22 07:35:20
108,108,card,success,104.86,2024-02-15 21:03:45
109,109,card,PAID,719.91,2024-12-15 05:41:12
110,110,mobile_money,PAID,1052.56,2025-11-14 12:47:43
111,111,card,success,1471.59,2025-05-29 05:00:17
112,112,card,success,269.71,2024-05-28 02:46:06
113,113,bank_transfer,PAID,72.05,2026-02-07 11:58:36
114,114,paypal,PAID,708.45,2025-06-27 02:43:44
115,115,paypal,success,19.05,2025-02-24 04:41:39
116,116,card,declined,0.00,2025-03-02 20:45:54
117,117,paypal,success,862.55,2025-04-04 04:02:27
118,118,bank_transfer,paid,662.19,2026-03-19 19:09:16
119,119,card,PAID,1124.26,2024-07-06 21:45:37
120,120,paypal,pending,0.00,2025-05-27 10:03:51
121,121,card,PAID,125.29,2025-04-27 15:41:44
122,122,mobile_money,PAID,425.27,2025-11-02 08:58:42
