shipment_id,order_id,shipping_provider,shipping_status,shipped_at,delivered_at
1,1,G4S,delivered,2025-07-28 07:49:09,2025-07-31 07:49:09
2,2,Sendy,delivered,2025-05-22 12:17:15,2025-05-27 12:17:15
3,3,UPS,delivered,2025-07-01 18:50:36,2025-07-04 18:50:36
4,4,FedEx,delivered,2024-11-25 20:59:58,2024-11-27 20:59:58
5,5,FedEx,delivered,2025-06-06 10:01:24,2025-06-10 10:01:24
6,6,DHL,delivered,2024-07-10 21:55:06,2024-07-12 21:55:06
7,7,Sendy,delivered,2025-02-06 05:38:11,2025-02-10 05:38:11
8,8,UPS,delivered,2024-08-18 14:52:11,2024-08-23 14:52:11
9,9,G4S,delivered,2025-07-19 22:36:36,2025-07-21 22:36:36
10,10,Sendy,delivered,2025-10-29 08:11:37,2025-11-03 08:11:37
11,11,FedEx,delivered,2026-02-09 19:53:44,2026-02-10 19:53:44
12,12,DHL,delivered,2024-12-27 11:29:27,2025-01-02 11:29:27
13,13,DHL,delivered,2024-02-04 15:33:36,2024-02-07 15:33:36
14,14,UPS,delivered,2025-03-14 10:10:50,2025-03-18 10:10:50
15,15,DHL,delivered,2024-09-15 19:49:13,2024-09-21 19:49:13
16,16,UPS,delivered,2024-12-05 21:26:01,2024-12-10 21:26:01
17,17,G4S,delivered,2024-04-04 11:28:05,2024-04-08 11:28:05
18,18,DHL,delivered,2025-01-26 22:56:23,2025-01-30 22:56:23
19,19,UPS,delivered,2025-11-28 21:48:13,2025-12-01 21:48:13
20,20,UPS,delivered,2025-07-18 03:14:42,2025-07-19 03:14:42
21,21,UPS,delivered,2025-07-29 03:57:14,2025-07-31 03:57:14
22,22,UPS,delivered,2025-07-03 07:09:12,2025-07-05 07:09:12
23,23,DHL,delivered,2024-10-16 13:17:02,2024-10-22 13:17:02
24,24,DHL,delivered,2024-03-09 00:31:01,2024-03-12 00:31:01
25,25,FedEx,delivered,2026-02-17 16:56:47,2026-02-18 16:56:47
26,26,DHL,delivered,2025-11-02 01:14:38,2025-11-05 01:14:38
27,27,Sendy,cancelled,,
28,28,DHL,delivered,2024-03-03 14:09:03,2024-03-11 14:09:03
29,29,FedEx,delivered,2024-08-17 12:12:36,2024-08-20 12:12:36
30,30,Sendy,cancelled,,
31,31,FedEx,delivered,2024-07-24 19:26:11,2024-07-30 19:26:11
32,32,UPS,delivered,2024-12-23 08:35:46,2024-12-25 08:35:46
33,33,UPS,delivered,2024-09-10 09:32:57,2024-09-14 09:32:57
34,34,DHL,delivered,2025-09-01 10:25:26,2025-09-09 10:25:26
35,35,Sendy,cancelled,,
36,36,DHL,delivered,2024-01-28 08:46:14,2024-01-31 08:46:14
37,37,FedEx,delivered,2025-06-01 01:32:14,2025-06-04 01:32:14
38,38,G4S,delivered,2025-08-29 03:10:40,2025-09-04 03:10:40
39,39,FedEx,delivered,2024-10-23 06:20:22,2024-10-28 06:20:22
40,40,FedEx,delivered,2024-07-14 22:57:24,2024-07-20 22:57:24
41,41,Sendy,cancelled,,
42,42,UPS,delivered,2024-06-01 08:44:02,2024-06-05 08:44:02
43,43,UPS,delivered,2024-05-19 18:46:44,2024-05-22 18:46:44
44,44,G4S,returned,2024-09-12 22:01:52,2024-09-20 22:01:52
45,45,FedEx,returned,2025-12-26 05:21:46,2026-01-02 05:21:46
46,46,UPS,delivered,2024-09-01 14:15:14,2024-09-02 14:15:14
47,47,G4S,delivered,2025-02-03 06:04:42,2025-02-07 06:04:42
48,48,FedEx,delivered,2025-09-03 04:25:34,2025-09-05 04:25:34
49,49,UPS,delivered,2026-01-31 22:31:54,2026-02-02 22:31:54
50,50,G4S,delivered,2024-08-18 06:12:53,2024-08-19 06:12:53
51,51,UPS,returned,2025-08-26 18:23:04,2025-08-29 18:23:04
52,52,FedEx,delivered,2025-10-24 22:57:38,2025-10-30 22:57:38
53,53,G4S,processing,2025-06-24 18:26:53,
54,54,Sendy,delivered,2025-05-02 16:55:40,2025-05-08 16:55:40
55,55,G4S,delivered,2024-07-18 08:15:06,2024-07-24 08:15:06
56,56,UPS,delivered,2024-10-31 10:05:42,2024-11-05 10:05:42
57,57,DHL,cancelled,,
58,58,FedEx,delivered,2025-01-25 19:14:57,2025-01-28 19:14:57
59,59,FedEx,delivered,2026-03-15 22:44:31,2026-03-19 22:44:31
60,60,G4S,cancelled,,
61,61,DHL,delivered,2025-01-03 11:08:00,2025-01-11 11:08:00
62,62,UPS,delivered,2026-03-30 12:29:32,2026-04-04 12:29:32
63,63,G4S,delivered,2026-02-26 05:35:21,2026-02-27 05:35:21
64,64,FedEx,processing,2024-02-14 03:35:15,
65,65,G4S,delivered,2024-11-07 02:10:51,2024-11-10 02:10:51
66,66,G4S,delivered,2025-07-31 04:06:15,2025-08-05 04:06:15
67,67,DHL,delivered,2025-07-05 20:22:00,2025-07-10 20:22:00
68,68,Sendy,processing,2025-02-18 13:16:01,
69,69,G4S,delivered,2024-01-04 17:36:51,2024-01-05 17:36:51
70,70,FedEx,delivered,2024-07-11 21:56:48,2024-07-14 21:56:48
71,71,UPS,delivered,2024-12-12 12:34:01,2024-12-19 12:34:01
72,72,FedEx,delivered,2024-12-20 21:58:21,2024-12-24 21:58:21
73,73,DHL,cancelled,,
74,74,FedEx,processing,2024-06-12 22:42:57,
75,75,FedEx,delivered,2025-11-25 12:48:50,2025-12-01 12:48:50
76,76,Sendy,delivered,2026-03-02 11:16:21,2026-03-10 11:16:21
77,77,DHL,returned,2024-04-19 14:31:36,2024-04-20 14:31:36
78,78,DHL,delivered,2024-09-10 15:44:00,2024-09-13 15:44:00
79,79,FedEx,delivered,2024-03-17 04:42:11,2024-03-23 04:42:11
80,80,UPS,delivered,2025-06-04 11:35:39,2025-06-06 11:35:39
